Speed,Time To Collision,Obs Gap,Obs Width,Is Jumping,Is Ducking,Obs Above Ground,Action,Q Value
12,999,0,0,0,0,0,jump,-0.09619116935670902
12,999,0,0,1,0,0,duck_on,-0.10423519165271261
12,999,0,0,1,0,0,jump,-0.10584521701401632
12,999,0,0,0,1,0,duck_on,-0.09820416391050403
12,999,0,0,0,1,0,duck_off,0.02341851978446298
12,999,0,0,0,0,0,duck_on,-0.09743173230833593
12,999,0,0,0,1,0,jump,-0.1007952702305446
12,999,0,0,1,0,0,duck_off,-0.09266229896421602
12,999,0,0,1,0,0,do_nothing,-0.08197036750833449
12,999,0,0,0,0,0,do_nothing,0.0223271175992894
12,30,5,3,0,0,0,do_nothing,0.0222222222222202
12,30,5,3,0,0,0,duck_on,-0.15901817517017186
12,30,5,3,0,1,0,do_nothing,-0.054160935738504085
12,30,5,3,0,1,0,duck_on,-0.020000000000000004
12,30,5,3,0,1,0,duck_off,0.46848214176171604
12,25,5,3,0,0,0,jump,0.002
12,15,5,3,1,0,0,do_nothing,0.002
12,6,5,3,1,0,0,jump,0.95
12,-4,5,3,1,0,0,do_nothing,-0.020000000000000004
12,30,6,5,1,0,0,do_nothing,0.3909203978247001
12,21,6,5,0,0,0,duck_off,1.38167476284
12,999,0,0,0,0,0,duck_off,0.022843201589358535
12,30,6,2,0,0,0,jump,0.6106053640301623
12,30,6,2,1,0,0,duck_on,0.6709589188394931
12,30,6,2,1,0,0,duck_off,0.2632445341842334
12,30,6,2,0,0,0,do_nothing,0.031580226018033536
12,30,6,2,1,0,0,jump,1.2167856577012692
12,28,6,2,1,0,0,jump,0.5018
12,999,0,0,0,1,0,do_nothing,-0.10496736436833547
12,30,6,5,0,0,0,duck_off,0.022223855360663874
12,30,6,5,0,0,0,jump,-0.10894990742704679
12,30,6,5,1,0,0,duck_off,0.06038153303913458
12,30,6,5,1,0,0,jump,3.0698322961852105
12,30,6,5,1,0,0,duck_on,-0.16913760948705167
12,24,6,5,1,0,0,do_nothing,0.979301314
12,30,5,2,0,1,0,jump,-0.10090583301109309
12,30,5,2,0,1,0,duck_off,0.9813409327360887
12,30,5,2,0,0,0,do_nothing,0.02222189964951893
12,28,5,2,0,0,0,jump,0.5114709438000001
12,18,5,2,1,0,0,jump,1.7692977102400003
12,9,5,2,1,0,0,duck_off,1.3564782
12,-1,5,2,1,0,0,duck_on,-0.017988924902527105
12,29,6,5,1,0,0,duck_off,1.7816590535956862
12,20,6,5,0,0,0,duck_on,2.089609088003119
12,30,4,1,0,0,0,jump,-0.12931013616358722
12,30,4,1,1,0,0,jump,0.31149968883744616
12,30,4,1,1,0,0,duck_on,-0.13312468329613386
12,30,4,1,0,1,0,do_nothing,-0.05379940795522807
12,30,4,1,0,1,0,jump,0.9174596804168309
12,21,4,1,0,1,0,duck_off,0.5018
12,30,6,3,1,0,0,duck_off,1.5812410364641463
12,30,6,3,0,0,0,jump,-0.08346870663148517
12,30,6,3,1,0,0,do_nothing,-0.1423676958383905
12,30,6,3,1,0,0,duck_on,0.5702578851885737
12,27,6,3,0,1,0,jump,0.002
12,30,5,2,1,0,0,do_nothing,-0.13280155115085546
12,30,5,2,0,0,0,jump,-0.1256223278836917
12,30,5,2,1,0,0,duck_off,0.04309564985396072
12,30,5,2,1,0,0,duck_on,0.19795821148763176
12,29,5,2,0,1,0,jump,0.0040221644260248456
12,30,4,2,1,0,0,duck_on,-0.17873520178870586
12,30,4,2,1,0,0,jump,-0.16081500374084703
12,30,4,2,0,1,0,duck_off,0.8352380438961996
12,30,4,2,0,0,0,duck_on,-0.17983986017669615
12,30,4,2,0,0,0,jump,-0.12988102335903787
12,29,4,2,1,0,0,duck_off,0.9606565070199999
12,19,4,2,1,0,0,jump,0.5049667800000001
12,10,4,2,1,0,0,jump,0.5034580000000001
12,0,4,2,1,0,0,do_nothing,0.002
12,30,3,1,0,0,0,duck_off,0.02222222222222224
12,22,3,1,0,0,0,duck_off,0.002
12,30,5,2,0,0,0,duck_off,0.06980073713761376
12,29,5,2,1,0,0,duck_on,1.3907666965113301
12,30,6,3,0,0,0,duck_off,0.04309695841630058
12,27,6,3,1,0,0,duck_off,0.5805616652106078
12,30,6,3,0,1,0,jump,-0.15774032015190642
12,30,6,3,0,1,0,duck_on,-0.04860260492129387
12,30,6,3,0,1,0,duck_off,1.1415641313494886
12,27,6,3,0,0,0,jump,-0.01806804152135774
12,18,6,3,1,0,0,do_nothing,2.8738004226056493
12,8,6,3,1,0,0,duck_on,0.002
12,-1,6,3,1,0,0,duck_off,0.009961940015459251
12,30,6,3,0,0,0,duck_on,-0.1788739332397305
12,30,6,3,0,1,0,do_nothing,-0.08658825153117165
12,29,6,3,0,1,0,duck_on,0.002
12,29,5,2,1,0,0,do_nothing,0.047637552616
12,30,6,3,0,0,0,do_nothing,0.022870854269888954
12,27,6,3,0,0,0,duck_off,0.002
12,30,5,2,1,0,0,jump,0.4673441150636573
12,30,5,2,0,0,0,duck_on,-0.10658245517752615
12,29,5,2,0,0,0,duck_off,0.0138625086982
12,29,6,2,0,0,0,duck_off,0.5093906558
12,27,6,3,0,0,0,duck_on,0.002
12,30,4,2,0,1,0,jump,-0.08130727773499588
12,30,4,2,0,1,0,do_nothing,-0.1000769356667323
12,30,4,2,0,1,0,duck_on,-0.10343667262810197
12,0,4,2,1,0,0,jump,0.0038691600000000004
12,28,6,3,1,0,0,jump,0.00202
12,18,6,3,1,0,0,duck_off,0.002
12,9,6,3,1,0,0,do_nothing,0.002021064261495918
12,-1,6,3,1,0,0,jump,-0.038708521390436554
12,28,6,5,1,0,0,do_nothing,0.951638
12,30,4,2,1,0,0,duck_off,1.7615249050803359
12,30,4,2,1,0,0,do_nothing,-0.13850536452694767
12,29,4,2,1,0,0,jump,0.0038547620000000003
12,30,3,1,0,1,0,duck_off,0.7512278041930474
12,30,3,1,0,0,0,do_nothing,0.020651828270763523
12,30,3,1,0,0,0,duck_on,-0.1629912540991747
12,21,3,1,0,0,0,duck_off,0.002
12,30,6,5,0,1,0,jump,-0.07085197691678599
12,30,6,5,0,1,0,duck_on,-0.08152215956254147
12,30,6,5,0,1,0,do_nothing,0.46092558505711567
12,25,6,5,0,1,0,do_nothing,0.006878
12,30,6,2,0,0,0,duck_on,-0.16337674116107337
12,30,6,2,0,1,0,duck_on,-0.06816972566504018
12,30,6,2,0,1,0,duck_off,2.309031857246971
12,30,4,2,0,0,0,do_nothing,0.026181724021221153
12,29,4,2,0,1,0,duck_on,0.003822184224306351
12,29,5,2,1,0,0,jump,0.0038000000000000004
12,29,4,2,0,0,0,duck_off,0.002
12,30,6,2,0,1,0,jump,-0.09038513809582212
12,30,6,2,0,1,0,do_nothing,-0.09281385780703087
12,27,6,3,0,1,0,duck_off,0.0038000000000000004
12,29,5,2,0,0,0,duck_on,0.0038000000000000004
12,30,5,3,0,0,0,duck_off,0.018756528447553718
12,27,5,3,0,0,0,duck_on,0.0038000000000000004
12,30,6,5,0,0,0,do_nothing,0.02222372272637506
12,30,6,5,0,0,0,duck_on,-0.15875401338808143
12,30,4,1,0,0,0,do_nothing,0.022222222222222206
12,30,4,1,1,0,0,do_nothing,0.9050959630462899
12,21,4,1,1,0,0,jump,2.6946862917602004
12,11,4,1,1,0,0,duck_on,3.063127269978
12,1,4,1,1,0,0,jump,0.00544
12,28,4,2,0,1,0,duck_off,0.5018
12,30,6,5,0,1,0,duck_off,1.4854759785848866
12,25,6,5,1,0,0,duck_off,0.15951891410544927
12,30,4,2,0,0,0,duck_off,0.036184265579080506
12,25,6,5,1,0,0,duck_on,0.002
12,30,4,1,0,0,0,duck_on,-0.17650752162706934
12,30,4,1,0,1,0,duck_on,-0.020000000000000004
12,30,4,1,0,1,0,duck_off,0.28676393963757085
12,30,4,1,0,0,0,duck_off,0.022174080923136007
12,29,4,2,0,0,0,duck_on,0.0038000000000000004
12,19,5,2,1,0,0,jump,0.002
12,10,5,2,1,0,0,do_nothing,2.04755
12,0,5,2,1,0,0,jump,0.00202
12,29,6,5,1,0,0,do_nothing,0.002
12,19,6,5,1,0,0,jump,0.5018
12,10,6,5,1,0,0,duck_off,2.848156978541948
12,0,6,5,1,0,0,duck_on,-0.017398380960986143
12,25,5,2,1,0,0,duck_off,2.6422106297371473
12,25,6,5,0,0,0,duck_off,0.006878
12,30,6,2,0,0,0,duck_off,0.6894854955383724
12,30,5,3,1,0,0,duck_on,-0.13599462022757447
12,30,6,2,1,0,0,do_nothing,2.0142175162847806
12,29,6,2,0,1,0,jump,0.002
12,30,3,1,1,0,0,do_nothing,-0.0867353894657985
12,30,3,1,0,0,0,jump,-0.13857633495349603
12,30,3,1,1,0,0,duck_on,-0.13301605643835385
12,30,5,1,0,0,0,jump,-0.1455798937423689
12,30,5,1,1,0,0,duck_off,0.3850978533536613
12,30,5,1,1,0,0,duck_on,1.7178286612592264
12,30,5,1,1,0,0,jump,-0.13842114636539146
12,30,5,1,0,1,0,duck_off,0.021571976221648054
12,30,5,1,0,0,0,do_nothing,0.06932758063569275
12,29,6,2,0,1,0,duck_off,0.002
12,30,6,3,1,0,0,jump,0.1373865429225542
12,27,6,3,0,0,0,do_nothing,0.002
12,8,6,3,1,0,0,do_nothing,2.047600838965427
12,19,5,2,1,0,0,duck_on,2.6507062938607704
12,0,5,2,0,1,0,duck_on,-0.019927729594675644
12,29,6,2,1,0,0,duck_on,1.7503440058000002
12,24,6,2,1,0,0,duck_on,0.002
12,25,3,1,0,0,0,do_nothing,0.002
12,22,6,3,0,0,0,duck_on,2.09894523868096
12,23,5,2,1,0,0,jump,0.9802611647407771
12,25,4,1,0,0,0,duck_off,0.5185240070674023
12,24,3,1,0,1,0,do_nothing,0.002
12,24,5,2,0,0,0,jump,1.8457380757349158
12,15,5,2,1,0,0,duck_on,3.3022970384672594
12,5,5,2,1,0,0,jump,-0.01985298002428277
12,23,6,3,0,0,0,duck_on,2.1218790658864664
12,14,5,2,1,0,0,jump,3.99357428034964
12,4,5,2,1,0,0,duck_off,-0.03862491571299706
12,30,4,1,1,0,0,duck_off,-0.14986339084625325
12,24,4,1,0,0,0,duck_on,0.002
12,30,3,1,1,0,0,jump,1.7976967845406882
12,30,3,1,1,0,0,duck_off,0.28266990514085466
12,30,3,1,0,1,0,duck_on,0.002
12,25,3,1,0,1,0,do_nothing,0.002
12,23,4,2,1,0,0,jump,0.002
12,30,5,3,1,0,0,do_nothing,0.8434131531605571
12,30,5,3,1,0,0,duck_off,-0.13744724766014954
12,30,5,3,0,1,0,jump,-0.019960935738504083
12,24,4,2,0,0,0,jump,0.5269402103183739
12,4,5,2,1,0,0,do_nothing,-0.03979935730395098
12,30,5,3,1,0,0,jump,-0.13804651420752098
12,29,5,3,1,0,0,do_nothing,0.002
12,20,5,3,1,0,0,duck_off,0.5018
12,10,5,3,1,0,0,do_nothing,0.5
12,0,5,3,1,0,0,do_nothing,0.00019762379097117925
12,28,5,2,1,0,0,do_nothing,0.9815267530428976
12,0,5,2,0,0,0,do_nothing,0.006009454449555011
12,22,6,3,1,0,0,do_nothing,1.7606494522180003
12,12,6,3,1,0,0,duck_off,0.95162
12,3,6,3,1,0,0,duck_on,-0.020109078000000002
12,27,4,1,0,0,0,jump,0.5018
12,18,4,1,1,0,0,jump,0.5068
12,8,4,1,1,0,0,duck_off,1.360087714195
12,-1,4,1,1,0,0,do_nothing,0.9612742775500001
12,24,6,2,1,0,0,do_nothing,4.293707851463496
12,25,3,1,1,0,0,duck_on,1.741106062
12,29,6,5,0,1,0,duck_off,0.002
12,24,5,2,1,0,0,do_nothing,0.0038884
12,5,5,2,1,0,0,duck_off,-0.03960834922995266
12,25,6,5,0,0,0,duck_on,0.002
12,15,6,2,1,0,0,duck_off,3.7841986876451665
12,5,6,2,1,0,0,do_nothing,-0.0406522151068497
12,30,5,2,0,1,0,duck_on,-0.052204825262935725
12,24,6,3,1,0,0,duck_off,0.0038000000000000004
12,999,0,0,1,1,0,duck_off,-0.008696944192485205
12,26,3,1,1,0,0,do_nothing,1.3673026000000001
12,16,3,1,1,0,0,duck_on,0.95662
12,6,3,1,1,0,0,duck_on,0.002
12,26,6,2,0,1,0,do_nothing,0.9568252648038282
12,22,6,3,1,0,0,jump,0.002
12,13,6,3,1,0,0,do_nothing,0.5018
12,3,6,3,1,0,0,jump,-0.020109058000000003
12,24,6,3,1,0,0,duck_on,0.002
12,25,4,1,1,0,0,do_nothing,2.6398647300942883
12,26,4,1,0,0,0,duck_on,0.514378
12,24,4,2,1,0,0,jump,2.7210546277721526
12,14,4,2,1,0,0,duck_off,2.621917372097037
12,5,4,2,1,0,0,jump,-0.02039836523374613
12,30,5,1,0,0,0,duck_off,0.019941508928702903
12,26,5,1,0,0,0,jump,0.002
12,16,5,1,1,0,0,jump,0.002
12,7,5,1,1,0,0,duck_on,0.9500200000000001
12,-3,5,1,1,0,0,do_nothing,0.0038000000000000004
12,28,5,2,0,1,0,do_nothing,0.5069355115839194
12,2,6,3,1,0,0,duck_on,-0.02049092421481142
12,30,5,1,0,0,0,duck_on,-0.17161732742173927
12,24,5,1,1,0,0,duck_off,0.00992
12,14,5,1,1,0,0,duck_on,0.95
12,4,5,1,1,0,0,jump,-0.020322000000000003
12,27,4,1,1,0,0,jump,0.956638
12,17,3,1,1,0,0,duck_off,0.002
12,7,3,1,1,0,0,duck_off,1.3595000000000002
12,-2,3,1,1,0,0,do_nothing,0.002
12,3,6,3,1,0,0,duck_off,0.00600906430311955
12,14,6,2,1,0,0,duck_off,3.72860340182068
12,5,6,2,1,0,0,duck_on,0.8759793445667765
12,30,5,3,0,0,0,jump,-0.1275774573017595
12,23,5,3,1,0,0,duck_on,0.509378
12,5,5,2,1,0,0,do_nothing,0.9005939404219209
12,-4,5,2,0,1,0,jump,-0.019852270012739454
12,5,6,2,1,0,0,duck_off,-0.03963367420686485
12,28,6,3,0,0,0,duck_off,0.008561745732259884
12,15,4,1,1,0,0,jump,1.7195361522851664
12,6,4,1,1,0,0,duck_off,0.5036542385166387
12,29,6,5,0,0,0,do_nothing,0.5270841480079226
12,30,6,2,1,1,0,duck_off,0.0055964835525444305
12,26,3,1,0,0,0,duck_off,0.5018
12,25,4,2,1,0,0,jump,1.4123606527709616
12,15,4,2,1,0,0,duck_on,3.0885829765423614
12,5,4,2,1,0,0,do_nothing,-0.019801545372726322
12,5,6,2,1,0,0,jump,-0.04462317814592043
12,29,6,5,0,1,0,jump,0.002
12,28,6,2,0,0,0,duck_off,0.002
12,30,5,1,0,1,0,jump,0.8721092785106694
12,4,4,2,1,0,0,jump,-0.020843122058258622
12,5,4,2,1,0,0,duck_off,1.2165913058388955
12,-4,4,2,0,0,0,jump,0.0020382
12,13,5,2,1,0,0,do_nothing,0.95
12,3,5,2,1,0,0,jump,-0.02075515454752575
12,29,6,5,0,0,0,duck_on,0.002
12,24,4,2,1,0,0,duck_off,0.007018000000000001
12,4,4,2,1,0,0,duck_off,-0.02090564752341157
12,28,4,1,0,0,0,do_nothing,0.002
12,29,5,3,0,0,0,do_nothing,0.002
12,24,4,1,1,0,0,jump,0.007000000000000001
12,5,4,1,1,0,0,duck_off,-0.01635646508384208
12,29,6,2,0,0,0,do_nothing,0.002
12,12,6,3,1,0,0,duck_on,0.5000221953529306
12,27,5,2,1,0,0,jump,0.501818
12,8,5,2,1,0,0,do_nothing,2.3428068098
12,14,6,2,1,0,0,do_nothing,0.5
12,4,6,2,1,0,0,jump,-0.021009941610113665
12,24,5,2,1,0,0,jump,3.5523399273075724
12,4,5,2,1,0,0,jump,0.9356925797808184
12,20,6,5,1,0,0,duck_off,4.115904844868829
12,0,6,5,1,0,0,duck_off,-0.020984986025983848
12,24,6,2,1,0,0,duck_off,0.007018000000000001
12,15,6,2,1,0,0,duck_on,0.9497231165606079
12,29,4,1,0,0,0,do_nothing,0.002
12,29,6,5,0,0,0,duck_off,0.00202
12,15,3,1,1,0,0,do_nothing,1.3600002
12,5,3,1,0,1,0,duck_on,0.002
12,29,6,5,1,0,0,jump,0.0020202
12,14,6,3,1,0,0,jump,0.9550000000000001
12,4,6,3,1,0,0,jump,0.95
12,-5,6,3,1,0,0,jump,-0.021095289952291426
12,30,5,1,1,0,0,do_nothing,-0.13529406883564798
12,13,5,3,1,0,0,do_nothing,0.95
12,4,5,3,0,1,0,duck_on,-0.01979614973972404
12,4,6,2,1,0,0,duck_off,0.5040960254350876
12,30,5,2,0,1,0,do_nothing,-0.07704507578899952
12,0,6,5,1,0,0,jump,-0.021112330959635925
12,4,6,2,1,0,0,duck_on,-0.023800777057221
12,13,6,3,1,0,0,jump,0.5000421580383219
12,5,5,1,1,0,0,jump,-0.01980490383462577
12,26,5,1,1,0,0,do_nothing,0.00202
12,16,5,1,1,0,0,duck_off,0.505
12,25,4,1,1,0,0,duck_off,0.002
12,16,4,1,1,0,0,do_nothing,0.9500199692057405
12,3,5,3,0,1,0,duck_off,0.0022166260668633553
12,15,5,1,1,0,0,do_nothing,0.5
12,5,5,1,1,0,0,duck_off,-0.021359610706071362
12,-1,6,3,0,0,0,do_nothing,0.006084095017936104
12,20,5,2,1,0,0,duck_off,0.5095
12,1,5,2,1,0,0,do_nothing,0.0022211682299001514
12,20,6,2,1,0,0,duck_on,0.9704761222222222
12,11,6,2,1,0,0,duck_off,0.95
12,1,6,2,0,0,0,do_nothing,0.002219279224276636
12,15,6,5,1,0,0,jump,3.519687236076254
12,5,6,5,1,0,0,duck_on,2.847686172222222
12,-4,6,5,0,1,0,duck_on,-0.01980002125004544
12,0,5,2,0,1,0,jump,-0.019781110935439467
12,9,4,1,1,0,0,duck_on,0.5
12,0,4,1,1,0,0,duck_on,0.002
12,6,6,5,1,0,0,do_nothing,2.6082585599131876
12,-4,6,5,0,0,0,duck_off,0.006134945699204039
12,-4,6,5,1,0,0,duck_on,-0.01978283619337418
12,-4,6,5,1,0,0,do_nothing,-0.019782049457741015
12,-4,6,5,1,0,0,jump,-0.03934354723451174
12,28,6,5,0,0,0,duck_off,0.009045546420599286
12,29,6,3,1,0,0,do_nothing,0.5019965405236969
12,29,6,3,0,0,0,duck_on,0.0038687799999999996
12,28,6,3,0,1,0,duck_off,0.0042174938643350784
12,26,6,5,0,0,0,duck_on,-0.01629481051755417
12,26,6,5,0,1,0,do_nothing,0.002038
12,27,6,3,0,1,0,duck_on,0.00202
12,28,6,5,1,0,0,duck_on,-0.019779713603932943
12,27,6,5,0,0,0,duck_on,-0.015782860787918813
12,29,6,3,0,1,0,jump,-0.01984380783218624
12,-1,5,3,0,0,0,do_nothing,0.0022194552623689165
12,19,6,2,1,0,0,duck_on,1.7456500000000001
12,10,6,2,0,1,0,duck_on,2.342911222222222
12,0,6,2,0,1,0,do_nothing,-0.019794043630272658
12,-4,6,5,1,0,0,duck_off,-0.03818442774677726
12,0,5,2,0,1,0,duck_off,0.502074773122446
12,0,6,2,0,1,0,duck_on,-0.01966764068993089
